year,gdpGrowth
FY2017,4.61
FY2018,6.1
FY2019,3.12
FY2020,-0.94
FY2021,5.77
FY2022,6.18
FY2023,-0.21
FY2024,2.62
FY2025,3.18
FY2026,3.7
